data,turno,pessoas_planejadas,pessoas_presentes,horas_regulares_disponiveis,horas_ausencia,horas_extras,minutos_atividades_indiretas,sabado_extra
2025-01-01,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-01,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-02,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-02,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-03,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-03,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-06,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-06,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-07,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-07,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-08,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-08,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-09,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-09,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-10,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-10,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-13,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-13,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-14,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-14,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-15,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-15,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-16,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-16,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-17,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-17,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-20,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-20,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-21,MANHÃ,2,2,13.5,0.0,9.43,90,false
2025-01-21,TARDE,2,2,13.5,0.0,0.31,90,false
2025-01-22,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-22,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-23,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-23,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-24,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-24,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-27,MANHÃ,2,2,13.5,0.0,0.2,90,false
2025-01-27,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-28,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-28,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-29,MANHÃ,2,2,13.5,0.0,8.13,90,false
2025-01-29,TARDE,2,2,13.5,0.0,0.0,90,false
2025-01-30,MANHÃ,2,2,13.5,0.0,15.26,90,false
2025-01-30,TARDE,2,2,13.5,0.0,0.17,90,false
2025-01-31,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-01-31,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-03,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-03,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-04,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-04,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-05,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-05,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-06,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-06,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-07,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-07,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-10,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-10,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-11,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-11,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-12,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-12,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-13,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-13,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-14,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-14,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-17,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-17,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-18,MANHÃ,2,2,13.5,0.0,0.0,90,false
2025-02-18,TARDE,2,2,13.5,0.0,0.0,90,false
2025-02-19,MANHÃ,2,2,13.5,0.0,0.0,90,false
