cliente_id,tipo_cliente,data_cadastro,canal_aquisicao,campanha_origem_id,segmento_b2b,vendedor_id,municipio,uf,cep_prefixo
CLI000001,B2C,2025-11-09,CRM,,,,Ribeirão Preto,SP,70299
CLI000002,B2C,2026-02-28,indicação,,,,Anápolis,GO,68723
CLI000003,B2C,2025-04-09,social pago,SOC-202504,,,Blumenau,SC,38555
CLI000004,B2C,2025-05-20,CRM,,,,Americana,SP,27588
CLI000005,B2C,2025-06-07,social pago,SOC-202506,,,Contagem,MG,39737
CLI000006,B2C,2025-08-18,orgânico,,,,Caruaru,PE,42273
CLI000007,B2C,2025-08-15,social pago,SOC-202508,,,Chapecó,SC,91431
CLI000008,B2C,2025-05-12,influenciador,INF-202505,,,Americana,SP,03280
CLI000009,B2C,2026-02-20,CRM,,,,Sorocaba,SP,61948
CLI000010,B2C,2026-05-06,,SOC-202605,,,Londrin,PR,93291
CLI000011,B2C,2025-02-02,indicação,,,,Piracicab,SP,53329
CLI000012,B2C,2025-08-01,CRM,,,,Londrina,PR,88544
CLI000013,B2C,2025-12-04,indicação,,,,Ribeirão Preto,SP,74240
CLI000014,B2C,2026-03-22,social pago,SOC-202603,,,Feira de Santana,BA,38740
CLI000015,B2C,2025-06-05,busca paga,SEA-202506,,,Salvador,BA,89032
CLI000016,B2C,2025-03-12,orgânico,,,,Anápolis,GO,99687
CLI000017,B2C,2026-03-19,,SOC-202603,,,Piracicaba,SP,79851
CLI000018,B2C,2025-07-20,busca paga,SEA-202507,,,Sorocaba,SP,48827
CLI000019,B2C,2025-04-22,indicação,,,,Contagem,MG,39239
CLI000020,B2C,2026-06-10,orgânico,,,,Ribeirão Preto,SP,96401
CLI000021,B2C,2026-03-25,,INF-202603,,,Vitória da Conquista,BA,84245
CLI000022,B2C,2025-07-28,social pago,SOC-202507,,,Contagem.,MG,79941
CLI000023,B2C,2025-12-19,social pago,SOC-202512,,,Uberaba,MG,53266
CLI000024,B2C,2025-07-23,indicação,,,,Petrópolis,RJ,92880
CLI000025,B2C,2025-07-11,influenciador,INF-202507,,,Ribeirão Preto,SP,09951
CLI000026,B2C,2026-05-15,influenciador,INF-202605,,,Bauru,SP,69313
CLI000027,B2C,2025-03-15,social pago,SOC-202503,,,Bauru,SP,75723
CLI000028,B2C,2025-07-04,orgânico,,,,São José dos Campos,SP,61335
CLI000029,B2C,2025-02-25,influenciador,INF-202502,,,Londrina,PR,52128
CLI000030,B2C,2025-06-20,social pago,SOC-202506,,,Caxias do Sul,RS,64885
CLI000031,B2C,2026-01-11,social pago,SOC-202601,,,Sorocaba,SP,91374
CLI000032,B2C,2026-05-11,busca paga,SEA-202605,,,Piracicaba,SP,15879
CLI000033,B2C,2025-04-05,influenciador,INF-202504,,,Campinas,SP,05497
CLI000034,B2C,2025-10-04,orgânico,,,,Chapecó,SC,14451
