compra_id,produto_id,fornecedor_id,origem_fornecedor,data_pedido_compra,data_evento_cambio,data_prevista,data_recebimento,quantidade_pedida,quantidade_recebida,moeda,valor_unitario_moeda,taxa_cambio_interna,frete_compra_brl,impostos_compra_brl,lote
CMP00001,PRD0001,FOR002,IMPORTADO,2025-01-19,2025-01-19,2025-04-06,2025-04-11,2206,2206,USD,7.69,6.2225,7701.13,13008.23,L0001-01
CMP00002,PRD0001,FOR002,IMPORTADO,2025-05-28,2025-05-28,2025-07-29,2025-08-20,2142,2142,USD,8.96,5.839,5201.92,14856.64,L0001-02
CMP00003,PRD0001,FOR002,IMPORTADO,2025-10-15,2025-10-15,2025-12-07,2025-12-28,2318,2318,USD,8.54,5.5979,8697.24,11358.19,L0001-03
CMP00004,PRD0001,FOR002,IMPORTADO,2026-02-26,2026-02-26,2026-05-22,2026-05-24,2220,2220,USD,9.38,5.2708,7246.07,11703.93,L0001-04
CMP00005,PRD0002,FOR003,IMPORTADO,2025-01-14,2025-01-14,2025-03-25,2025-03-27,1455,1455,USD,9.99,6.1754,5099.13,11204.49,L0002-01
CMP00006,PRD0002,FOR003,IMPORTADO,2025-05-23,2025-05-23,2025-07-19,2025-08-09,1464,1464,USD,10.56,5.8104,7232.08,9209.05,L0002-02
CMP00007,PRD0002,FOR003,IMPORTADO,2025-10-14,2025-10-14,2025-11-28,2025-12-14,1239,1239,USD,11.07,5.6196,5780.36,11555.12,L0002-03
CMP00008,PRD0002,FOR003,IMPORTADO,2026-02-20,2026-02-20,2026-05-05,2026-05-08,1386,1386,USD,11.95,5.2834,2087.26,7956.17,L0002-04
CMP00009,PRD0003,FOR004,IMPORTADO,2025-01-16,2025-01-16,2025-04-08,2025-04-12,1056,1056,USD,13.43,6.2368,3082.01,12053.14,L0003-01
CMP00010,PRD0003,FOR004,IMPORTADO,2025-06-05,2025-06-05,2025-07-21,2025-08-13,1045,1045,USD,14.08,5.7409,2056.44,10907.61,L0003-02
CMP00011,PRD0003,FOR004,IMPORTADO,2025-10-01,2025-10-01,2025-12-07,2025-12-30,1093,1093,USD,16.04,5.4629,5464.14,11969.92,L0003-03
CMP00012,PRD0003,FOR004,IMPORTADO,2026-02-25,2026-02-25,2026-04-16,2026-04-18,1155,1155,USD,16.27,5.2504,6529.57,14430.37,L0003-04
CMP00013,PRD0004,FOR005,IMPORTADO,2025-01-20,2025-01-20,2025-04-13,2025-04-13,816,816,USD,11.82,6.2381,3737.79,8583.06,L0004-01
