compra_id;produto_id;fornecedor_id;origem_fornecedor;data_pedido_compra;data_evento_cambio;data_prevista;data_recebimento;quantidade_pedida;quantidade_recebida;moeda;valor_unitario_moeda;taxa_cambio_interna;frete_compra_brl;impostos_compra_brl;lote;data;ptax_venda;ptax_aproximada_por_data_pedido;taxa_cambio_interna_tratada;taxa_preenchida_com_ptax;spread_cambial_pct
CMP00041;PRD0011;FOR012;IMPORTADO;02/01/2025;02/01/2025;11/03/2025;10/03/2025;348;348;USD;9.17;64.123;635.1;1657.74;L0011-01;02/01/2025;62.086;False;64.123;False;328.093.289.952.647
CMP00097;PRD0025;FOR002;IMPORTADO;03/01/2025;03/01/2025;23/03/2025;23/03/2025;138;138;USD;10.97;63.684;308.54;1192.34;L0025-01;03/01/2025;61.563;False;63.684;False;34.452.512.060.815.800
CMP00033;PRD0009;FOR010;IMPORTADO;03/01/2025;03/01/2025;15/03/2025;15/03/2025;454;454;USD;13.18;63.396;1847.08;6013.88;L0009-01;03/01/2025;61.563;False;63.396;False;2.977.437.746.698.500
CMP00021;PRD0006;FOR007;IMPORTADO;05/01/2025;05/01/2025;02/03/2025;01/03/2025;568;568;USD;10.69;63.684;3126.85;4685.23;L0006-01;03/01/2025;61.563;False;63.684;False;34.452.512.060.815.800
CMP00109;PRD0028;FOR005;IMPORTADO;06/01/2025;06/01/2025;12/03/2025;14/03/2025;121;121;USD;14.58;62.652;641.12;1150.96;L0028-01;06/01/2025;61.119;False;62.652;False;2.508.221.665.930.390
CMP00061;PRD0016;FOR017;IMPORTADO;06/01/2025;06/01/2025;24/03/2025;29/03/2025;248;248;USD;12.57;62.542;1167.12;2552.5;L0016-01;06/01/2025;61.119;False;62.542;False;23.282.448.992.948.100
CMP00121;PRD0031;FOR008;IMPORTADO;06/01/2025;06/01/2025;31/03/2025;03/04/2025;196;196;USD;14.54;63.205;786.28;1822.81;L0031-01;06/01/2025;61.119;False;63.205;False;3.413.013.956.380.170
CMP00069;PRD0018;FOR019;IMPORTADO;07/01/2025;07/01/2025;12/03/2025;10/03/2025;220;220;USD;8.39;61.653;414.2;892.81;L0018-01;07/01/2025;60.741;False;61.653;False;15.014.570.059.762.000
CMP00105;PRD0027;FOR004;IMPORTADO;07/01/2025;07/01/2025;09/03/2025;10/03/2025;162;162;USD;18.82;62.659;1102.16;1949.44;L0027-01;07/01/2025;60.741;False;62.659;False;31.576.694.489.718.700
CMP00065;PRD0017;FOR018;IMPORTADO;08/01/2025;08/01/2025;01/04/2025;02/04/2025;193;193;USD;16.61;6.284;1317.8;3190.66;L0017-01;08/01/2025;61.321;False;6.284;False;2.477.128.553.024.240
CMP00117;PRD0030;FOR007;IMPORTADO;08/01/2025;08/01/2025;16/03/2025;21/03/2025;134;134;USD;13.46;62.468;777.34;1406.57;L0030-01;08/01/2025;61.321;False;62.468;False;1.870.484.825.753.000
CMP00077;PRD0020;FOR021;IMPORTADO;09/01/2025;09/01/2025;17/03/2025;19/03/2025;177;177;USD;9.95;62.578;868.83;1080.14;L0020-01;09/01/2025;60.896;False;62.578;False;2.762.086.179.716.230
CMP00089;PRD0023;FOR024;IMPORTADO;09/01/2025;09/01/2025;30/03/2025;03/04/2025;159;159;USD;18.19;61.831;1113.8;2363.33;L0023-01;09/01/2025;60.896;False;61.831;False;15.354.046.242.774.500
CMP00025;PRD0007;FOR008;IMPORTADO;10/01/2025;10/01/2025;04/04/2025;05/04/2025;559;559;USD;8.13;62.902;1719.52;3161.84;L0007-01;10/01/2025;60.965;False;62.902;False;3.177.232.838.513.890
CMP00113;PRD0029;FOR006;IMPORTADO;11/01/2025;11/01/2025;26/03/2025;31/03/2025;134;134;USD;13.74;62.047;340.29;1327.26;L0029-01;10/01/2025;60.965;False;62.047;False;17.747.888.132.535.000
CMP00049;PRD0013;FOR014;IMPORTADO;13/01/2025;13/01/2025;28/02/2025;02/03/2025;327;327;USD;15.77;62.649;1436.54;4632.52;L0013-01;13/01/2025;61.079;False;62.649;False;2.570.441.559.292.060
CMP00101;PRD0026;FOR003;IMPORTADO;13/01/2025;13/01/2025;22/03/2025;24/03/2025;150;150;USD;11.7;62.736;664.14;1059.45;L0026-01;13/01/2025;61.079;False;62.736;False;27.128.800.406.031.500
CMP00057;PRD0015;FOR016;IMPORTADO;13/01/2025;13/01/2025;09/03/2025;09/03/2025;216;216;USD;17.53;62.029;460.5;2757.16;L0015-01;13/01/2025;61.079;False;62.029;False;15.553.627.269.601.600
CMP00005;PRD0002;FOR003;IMPORTADO;14/01/2025;14/01/2025;25/03/2025;27/03/2025;1455;1455;USD;9.99;61.754;5099.13;11204.49;L0002-01;14/01/2025;60.671;False;61.754;False;17.850.373.324.982.200
CMP00085;PRD0022;FOR023;IMPORTADO;14/01/2025;14/01/2025;01/03/2025;06/03/2025;151;151;USD;10.34;62.023;675.57;1059.03;L0022-01;14/01/2025;60.671;False;62.023;False;2.228.412.256.267.410
CMP00045;PRD0012;FOR013;IMPORTADO;14/01/2025;14/01/2025;08/04/2025;07/04/2025;302;302;USD;14.95;61.892;895.0;3758.67;L0012-01;14/01/2025;60.671;False;61.892;False;20.124.936.130.935.600
CMP00029;PRD0008;FOR009;IMPORTADO;15/01/2025;15/01/2025;06/04/2025;04/04/2025;445;445;USD;15.46;61.328;1807.27;4813.05;L0008-01;15/01/2025;60.377;False;61.328;False;1.575.103.102.174.660
CMP00037;PRD0010;FOR011;IMPORTADO;16/01/2025;16/01/2025;17/03/2025;22/03/2025;407;407;USD;10.63;61.528;1808.66;3144.45;L0010-01;16/01/2025;60.322;False;61.528;False;1.999.270.581.214.150
CMP00009;PRD0003;FOR004;IMPORTADO;16/01/2025;16/01/2025;08/04/2025;12/04/2025;1056;1056;USD;13.43;62.368;3082.01;12053.14;L0003-01;16/01/2025;60.322;False;62.368;False;3.391.797.354.199.130
CMP00017;PRD0005;FOR006;IMPORTADO;16/01/2025;16/01/2025;06/03/2025;11/03/2025;769;769;USD;14.04;61.756;4009.01;9694.0;L0005-01;16/01/2025;60.322;False;61.756;False;23.772.421.338.815.100
CMP00053;PRD0014;FOR015;IMPORTADO;17/01/2025;17/01/2025;02/04/2025;31/03/2025;278;278;USD;11.15;62.051;726.1;1659.53;L0014-01;17/01/2025;60.609;False;62.051;False;2.379.184.609.546.430
CMP00073;PRD0019;FOR020;IMPORTADO;17/01/2025;17/01/2025;11/03/2025;16/03/2025;193;193;USD;16.31;62.162;1282.44;2711.94;L0019-01;17/01/2025;60.609;False;62.162;False;25.623.257.272.022.200
CMP00125;PRD0032;FOR009;IMPORTADO;17/01/2025;17/01/2025;15/03/2025;13/03/2025;140;140;USD;10.9;62.389;341.57;1291.95;L0032-01;17/01/2025;60.609;False;62.389;False;2.936.857.562.408.220
CMP00081;PRD0021;FOR022;IMPORTADO;18/01/2025;18/01/2025;07/03/2025;06/03/2025;192;192;USD;9.45;62.259;840.64;1712.81;L0021-01;17/01/2025;60.609;False;62.259;False;27.223.679.651.536.900
CMP00001;PRD0001;FOR002;IMPORTADO;19/01/2025;19/01/2025;06/04/2025;11/04/2025;2206;2206;USD;7.69;62.225;7701.13;13008.23;L0001-01;17/01/2025;60.609;False;62.225;False;26.662.706.858.717.300
CMP00013;PRD0004;FOR005;IMPORTADO;20/01/2025;20/01/2025;13/04/2025;13/04/2025;816;816;USD;11.82;62.381;3737.79;8583.06;L0004-01;20/01/2025;60.498;False;62.381;False;31.124.995.867.631.900
CMP00093;PRD0024;FOR001;IMPORTADO;21/01/2025;21/01/2025;30/03/2025;30/03/2025;157;157;USD;8.04;62.362;200.17;978.15;L0024-01;21/01/2025;6.044;False;62.362;False;31.800.132.362.673.800
CMP00074;PRD0019;FOR020;IMPORTADO;16/05/2025;16/05/2025;06/08/2025;11/08/2025;201;201;USD;16.57;58.278;1011.92;2707.45;L0019-02;16/05/2025;56.925;False;58.278;False;2.376.811.594.202.890
CMP00094;PRD0024;FOR001;IMPORTADO;17/05/2025;17/05/2025;14/07/2025;13/07/2025;156;156;USD;8.85;58.595;499.58;1179.87;L0024-02;16/05/2025;56.925;False;58.595;False;29.336.846.728.151.000
CMP00114;PRD0029;FOR006;IMPORTADO;20/05/2025;20/05/2025;25/07/2025;30/07/2025;138;138;USD;13.6;58.091;676.49;1673.1;L0029-02;20/05/2025;5.662;False;58.091;False;25.980.219.003.885.500
CMP00070;PRD0018;FOR019;IMPORTADO;23/05/2025;23/05/2025;01/08/2025;04/08/2025;235;235;USD;8.31;57.821;236.53;1733.92;L0018-02;23/05/2025;56.932;False;57.821;False;15.615.119.792.032.500
CMP00062;PRD0016;FOR017;IMPORTADO;23/05/2025;23/05/2025;08/07/2025;11/07/2025;224;224;USD;12.08;58.268;712.83;2336.01;L0016-02;23/05/2025;56.932;False;58.268;False;23.466.591.723.459.600
CMP00006;PRD0002;FOR003;IMPORTADO;23/05/2025;23/05/2025;19/07/2025;09/08/2025;1464;1464;USD;10.56;58.104;7232.08;9209.05;L0002-02;23/05/2025;56.932;False;58.104;False;20.585.962.200.519.800
CMP00026;PRD0007;FOR008;IMPORTADO;25/05/2025;25/05/2025;20/07/2025;27/07/2025;512;512;USD;8.85;58.521;1257.03;2263.99;L0007-02;23/05/2025;56.932;False;58.521;False;27.910.489.707.018.900
CMP00106;PRD0027;FOR004;IMPORTADO;26/05/2025;26/05/2025;08/08/2025;11/08/2025;160;160;USD;18.42;57.538;1341.04;2695.28;L0027-02;26/05/2025;56.619;False;57.538;False;16.231.300.446.846.400
CMP00118;PRD0030;FOR007;IMPORTADO;27/05/2025;27/05/2025;22/07/2025;23/07/2025;118;118;USD;15.11;57.697;375.39;1201.75;L0030-02;27/05/2025;56.539;False;57.697;False;20.481.437.591.750.800
CMP00002;PRD0001;FOR002;IMPORTADO;28/05/2025;28/05/2025;29/07/2025;20/08/2025;2142;2142;USD;8.96;5.839;5201.92;14856.64;L0001-02;28/05/2025;56.936;False;5.839;False;2.553.744.555.290.150
CMP00102;PRD0026;FOR003;IMPORTADO;28/05/2025;28/05/2025;10/08/2025;09/08/2025;153;153;USD;12.97;5.856;806.5;1652.9;L0026-02;28/05/2025;56.936;False;5.856;False;2.852.325.418.013.200
CMP00038;PRD0010;FOR011;IMPORTADO;28/05/2025;28/05/2025;14/08/2025;04/09/2025;375;375;USD;11.54;57.915;982.5;2766.97;L0010-02;28/05/2025;56.936;False;57.915;False;17.194.744.976.816.000
CMP00034;PRD0009;FOR010;IMPORTADO;28/05/2025;28/05/2025;07/08/2025;20/08/2025;415;415;USD;15.37;58.034;841.6;2984.52;L0009-02;28/05/2025;56.936;False;58.034;False;19.284.811.015.877.400
CMP00054;PRD0014;FOR015;IMPORTADO;29/05/2025;29/05/2025;23/07/2025;27/07/2025;258;258;USD;12.61;58.029;362.33;1405.59;L0014-02;29/05/2025;56.559;False;58.029;False;25.990.558.531.798.600
CMP00110;PRD0028;FOR005;IMPORTADO;29/05/2025;29/05/2025;15/08/2025;19/08/2025;122;122;USD;14.62;58.439;663.58;1139.24;L0028-02;29/05/2025;56.559;False;58.439;False;33.239.625.877.402.300
CMP00042;PRD0011;FOR012;IMPORTADO;29/05/2025;29/05/2025;20/08/2025;12/09/2025;319;319;USD;10.13;58.182;1205.71;2519.95;L0011-02;29/05/2025;56.559;False;58.182;False;2.869.569.829.735.320
CMP00058;PRD0015;FOR016;IMPORTADO;30/05/2025;30/05/2025;16/07/2025;17/07/2025;209;209;USD;17.89;58.089;1501.35;2685.52;L0015-02;30/05/2025;57.087;False;58.089;False;17.552.157.233.695.900
CMP00098;PRD0025;FOR002;IMPORTADO;30/05/2025;30/05/2025;17/07/2025;17/07/2025;164;164;USD;11.72;58.225;245.93;1681.78;L0025-02;30/05/2025;57.087;False;58.225;False;19.934.485.960.025.800
CMP00018;PRD0005;FOR006;IMPORTADO;31/05/2025;31/05/2025;25/07/2025;08/08/2025;706;706;USD;14.48;58.256;3957.54;9310.82;L0005-02;30/05/2025;57.087;False;58.256;False;20.477.516.772.645.100
