devolucao_id,pedido_id,produto_id,data_solicitacao,data_processamento,quantidade,valor_estornado,motivo,condicao_retorno,custo_logistico
DEV00001,PED012213,PRD0052,2026-03-30,2026-04-01,2,209.84,AVARIA,REVENDAVEL,8.11
DEV00002,PED001830,PRD0002,2025-03-23,2025-04-01,1,121.49,VALIDADE,DESCARTE,16.26
DEV00003,PED006760,PRD0001,2025-09-30,2025-10-07,1,82.57,QUALIDADE,REVENDAVEL,28.19
DEV00004,PED014702,PRD0004,2026-05-26,2026-05-27,2,269.36,AVARIA,AVARIADO,30.55
DEV00005,PED013099,PRD0011,2026-04-23,2026-04-24,1,93.74,VALIDADE,REVENDAVEL,20.02
DEV00006,PED007154,PRD0001,2025-11-05,2025-11-09,1,88.03,QUALIDADE,REVENDAVEL,22.5
DEV00007,PED007768,PRD0005,2025-12-14,2025-12-21,1,142.89,PRODUTO INCORRETO,REVENDAVEL,20.69
DEV00008,PED000216,PRD0049,2025-01-29,2025-02-02,1,68.76,AVARIA,AVARIADO,19.63
DEV00009,PED001801,PRD0021,2025-04-05,2025-04-07,1,107.15,AVARIA,DESCARTE,28.19
DEV00010,PED007770,PRD0003,2025-12-21,2025-12-29,1,127.95,PRODUTO INCORRETO,AVARIADO,33.65
DEV00011,PED003928,PRD0001,2025-07-12,2025-07-17,1,88.97,VALIDADE,REVENDAVEL,33.95
DEV00012,PED001643,PRD0066,2025-04-04,2025-04-07,2,246.99,VALIDADE,REVENDAVEL,18.96
DEV00013,PED006444,PRD0117,2025-10-08,2025-10-12,1,56.13,QUALIDADE,REVENDAVEL,33.76
DEV00014,PED008239,PRD0022,2025-11-23,2025-12-02,1,100.25,ARREPENDIMENTO,REVENDAVEL,21.39
DEV00015,PED004734,PRD0001,2025-08-10,2025-08-15,1,89.3,VALIDADE,AVARIADO,15.34
DEV00016,PED011116,PRD0021,2026-03-09,2026-03-11,1,116.53,QUALIDADE,DESCARTE,31.42
DEV00017,PED008338,PRD0022,2025-12-18,2025-12-28,2,203.86,AVARIA,DESCARTE,23.81
DEV00018,PED008967,PRD0023,2025-12-31,2026-01-10,1,146.79,PRODUTO INCORRETO,REVENDAVEL,24.95
DEV00019,PED001319,PRD0071,2025-03-18,2025-03-19,2,239.81,ARREPENDIMENTO,REVENDAVEL,25.73
DEV00020,PED008794,PRD0017,2025-11-29,2025-12-03,1,168.13,QUALIDADE,AVARIADO,31.29
DEV00021,PED009301,PRD0005,2025-12-17,2025-12-21,1,135.97,AVARIA,REVENDAVEL,32.77
DEV00022,PED000264,PRD0003,2025-02-05,2025-02-14,1,162.82,QUALIDADE,AVARIADO,8.36
DEV00023,PED014741,PRD0170,2026-06-06,2026-06-13,1,16.36,VALIDADE,REVENDAVEL,25.74
DEV00024,PED011475,PRD0004,2026-02-27,2026-02-28,1,133.25,PRODUTO INCORRETO,DESCARTE,22.96
DEV00025,PED006190,PRD0006,2025-09-07,2025-09-11,1,116.11,VALIDADE,AVARIADO,29.79
DEV00026,PED008454,PRD0007,2025-12-10,2025-12-11,1,88.18,AVARIA,REVENDAVEL,19.47
DEV00027,PED002922,PRD0003,2025-04-12,2025-04-22,1,143.28,VALIDADE,DESCARTE,20.65
DEV00028,PED001024,PRD0026,2025-03-19,2025-03-23,1,138.59,VALIDADE,REVENDAVEL,19.9
DEV00029,PED011176,PRD0039,2026-03-07,2026-03-17,1,111.92,ARREPENDIMENTO,AVARIADO,34.51
DEV00030,PED000610,PRD0043,2025-02-04,2025-02-10,1,67.71,ARREPENDIMENTO,REVENDAVEL,22.93
DEV00031,PED014211,PRD0067,2026-05-24,2026-05-29,1,91.43,VALIDADE,REVENDAVEL,24.94
DEV00032,PED015506,PRD0071,2026-06-11,2026-06-19,2,208.97,VALIDADE,AVARIADO,13.24
DEV00033,PED009567,PRD0005,2025-12-26,2025-12-28,1,56.78,,REVENDAVEL,24.68
DEV00034,PED013016,PRD0001,2026-04-27,2026-04-29,1,76.41,QUALIDADE,REVENDAVEL,16.1
DEV00035,PED014520,PRD0025,2026-05-08,2026-05-09,1,126.69,PRODUTO INCORRETO,AVARIADO,31.19
DEV00036,PED005677,PRD0045,2025-08-26,2025-09-04,1,112.61,PRODUTO INCORRETO,REVENDAVEL,13.41
DEV00037,PED009470,PRD0001,2026-01-05,2026-01-11,1,84.17,QUALIDADE,REVENDAVEL,20.06
DEV00038,PED006796,PRD0030,2025-10-22,2025-10-27,1,129.92,QUALIDADE,AVARIADO,14.63
