data_referencia,produto_id,lote,data_validade,quantidade_disponivel,quantidade_reservada,entrada_semana,saida_semana,retorno_semana,perda_validade,perda_avaria,custo_medio_unitario
2025-01-06,PRD0001,AB0001,2027-06-25,796,6,0,72,0,0,0,57.68
2025-01-13,PRD0001,AB0001,2027-06-25,691,52,0,105,0,0,0,57.64
2025-01-20,PRD0001,AB0001,2027-06-25,546,21,0,145,0,0,0,57.09
2025-01-27,PRD0001,AB0001,2027-06-25,410,19,0,136,0,0,0,55.93
2025-02-03,PRD0001,AB0001,2027-06-25,325,,0,87,2,0,0,55.38
2025-02-10,PRD0001,AB0001,2027-06-25,249,10,0,81,5,0,0,54.55
2025-02-17,PRD0001,AB0001,2027-06-25,135,0,0,114,0,0,0,53.89
2025-02-24,PRD0001,AB0001,2027-06-25,2,0,0,135,2,0,0,54.03
2025-03-03,PRD0001,AB0001,2027-06-25,1,0,0,2,1,0,0,55.19
2025-03-10,PRD0001,AB0001,2027-06-25,2,0,0,1,2,0,0,54.67
2025-03-17,PRD0001,AB0001,2027-06-25,2,0,0,2,2,0,0,53.87
2025-03-24,PRD0001,AB0001,2027-06-25,2,0,0,2,2,0,0,54.17
2025-03-31,PRD0001,AB0001,2027-06-25,1,,0,2,1,0,0,54.19
2025-04-07,PRD0001,AB0001,2027-06-25,2,0,2206,62,2,0,0,55.56
2025-04-07,PRD0001,L0001-01,2027-10-03,2145,72,0,0,0,0,0,55.56
2025-04-14,PRD0001,L0001-01,2027-10-03,2031,50,0,116,0,0,0,55.13
2025-04-21,PRD0001,L0001-01,2027-10-03,1888,42,0,143,0,0,0,55.26
2025-04-28,PRD0001,AB0001,2027-06-25,1,0,0,110,1,0,0,53.49
2025-04-28,PRD0001,L0001-01,2027-10-03,1778,,0,0,0,0,0,53.49
2025-05-05,PRD0001,AB0001,2027-06-25,1,0,0,72,1,0,0,53.34
2025-05-05,PRD0001,L0001-01,2027-10-03,1707,12,0,0,0,0,0,53.34
2025-05-12,PRD0001,L0001-01,2027-10-03,1645,48,0,63,0,0,0,53.62
2025-05-19,PRD0001,L0001-01,2027-10-03,1544,80,0,101,0,0,1,53.4
2025-05-26,PRD0001,L0001-01,2027-10-03,1335,59,0,209,0,0,0,53.43
2025-06-02,PRD0001,AB0001,2027-06-25,3,0,0,108,3,0,0,53.73
2025-06-02,PRD0001,L0001-01,2027-10-03,1227,69,0,0,0,0,0,53.73
2025-06-09,PRD0001,AB0001,2027-06-25,1,0,0,100,1,0,0,52.62
2025-06-09,PRD0001,L0001-01,2027-10-03,1130,3,0,0,0,0,0,52.62
2025-06-16,PRD0001,L0001-01,2027-10-03,1033,23,0,98,0,0,0,52.02
2025-06-23,PRD0001,AB0001,2027-06-25,3,0,0,113,3,0,0,52.1
2025-06-23,PRD0001,L0001-01,2027-10-03,920,22,0,0,0,0,0,52.1
2025-06-30,PRD0001,AB0001,2027-06-25,2,0,0,85,2,0,0,51.5
2025-06-30,PRD0001,L0001-01,2027-10-03,838,24,0,0,0,0,0,51.5
2025-07-07,PRD0001,L0001-01,2027-10-03,761,29,0,79,0,0,0,51.48
2025-07-14,PRD0001,AB0001,2027-06-25,1,0,0,96,1,0,0,52.46
2025-07-14,PRD0001,L0001-01,2027-10-03,665,,0,0,0,0,0,52.46
2025-07-21,PRD0001,AB0001,2027-06-25,1,0,0,116,1,0,0,52.49
2025-07-21,PRD0001,L0001-01,2027-10-03,550,37,0,0,0,0,0,52.49
2025-07-28,PRD0001,AB0001,2027-06-25,1,0,0,165,1,0,0,52.73
2025-07-28,PRD0001,L0001-01,2027-10-03,386,23,0,0,0,0,0,52.73
2025-08-04,PRD0001,AB0001,2027-06-25,3,0,0,100,3,0,0,52.01
2025-08-04,PRD0001,L0001-01,2027-10-03,287,2,0,0,0,0,0,52.01
2025-08-11,PRD0001,AB0001,2027-06-25,2,0,0,93,2,0,0,51.4
2025-08-11,PRD0001,L0001-01,2027-10-03,197,0,0,0,0,0,0,51.4
2025-08-18,PRD0001,AB0001,2027-06-25,1,0,2142,102,1,0,0,51.1
2025-08-18,PRD0001,L0001-01,2027-10-03,97,5,0,0,0,0,0,51.1
2025-08-18,PRD0001,L0001-02,2028-02-11,2142,33,0,0,0,0,0,51.1
2025-08-25,PRD0001,L0001-02,2028-02-11,2079,24,0,161,0,0,0,51.12
2025-09-01,PRD0001,L0001-02,2028-02-11,1961,117,0,118,0,0,0,51.31
2025-09-08,PRD0001,AB0001,2027-06-25,2,0,0,107,2,0,0,51.22
2025-09-08,PRD0001,L0001-02,2028-02-11,1854,114,0,0,0,0,0,51.22
2025-09-15,PRD0001,L0001-02,2028-02-11,1756,75,0,100,0,0,0,50.21
2025-09-22,PRD0001,L0001-02,2028-02-11,1603,63,0,153,0,0,0,50.45
2025-09-29,PRD0001,L0001-02,2028-02-11,1474,117,0,129,0,0,0,50.23
2025-10-06,PRD0001,AB0001,2027-06-25,2,0,0,69,2,0,0,50.23
2025-10-06,PRD0001,L0001-02,2028-02-11,1405,47,0,0,0,0,0,50.23
2025-10-13,PRD0001,L0001-02,2028-02-11,1329,53,0,78,0,0,0,51.55
2025-10-20,PRD0001,AB0001,2027-06-25,1,0,0,143,1,0,0,50.74
2025-10-20,PRD0001,L0001-02,2028-02-11,1186,42,0,0,0,0,0,50.74
2025-10-27,PRD0001,L0001-02,2028-02-11,1029,50,0,158,0,0,0,50.72
2025-11-03,PRD0001,AB0001,2027-06-25,3,0,0,93,3,0,0,50.49
2025-11-03,PRD0001,L0001-02,2028-02-11,936,28,0,0,0,0,0,50.49
2025-11-10,PRD0001,AB0001,2027-06-25,1,0,0,100,1,0,0,50.19
2025-11-10,PRD0001,L0001-02,2028-02-11,839,27,0,0,0,0,0,50.19
2025-11-17,PRD0001,L0001-02,2028-02-11,729,19,0,111,0,0,0,50.12
2025-11-24,PRD0001,L0001-02,2028-02-11,460,20,0,269,0,0,0,50.91
2025-12-01,PRD0001,AB0001,2027-06-25,1,0,0,79,1,0,0,50.46
2025-12-01,PRD0001,L0001-02,2028-02-11,381,13,0,0,0,0,0,50.46
2025-12-08,PRD0001,AB0001,2027-06-25,2,0,0,93,2,0,0,51.19
2025-12-08,PRD0001,L0001-02,2028-02-11,289,1,0,0,0,0,0,51.19
2025-12-15,PRD0001,L0001-02,2028-02-11,204,0,0,87,0,0,0,50.89
2025-12-22,PRD0001,AB0001,2027-06-25,1,0,2318,130,1,0,0,52.27
2025-12-22,PRD0001,L0001-02,2028-02-11,74,2,0,0,0,0,0,52.27
2025-12-22,PRD0001,L0001-03,2028-06-20,2318,65,0,0,0,0,0,52.27
2025-12-29,PRD0001,AB0001,2027-06-25,1,0,0,177,1,0,0,52.6
2025-12-29,PRD0001,L0001-03,2028-06-20,2216,159,0,0,0,0,0,52.6
2026-01-05,PRD0001,AB0001,2027-06-25,1,0,0,88,1,0,0,51.29
2026-01-05,PRD0001,L0001-03,2028-06-20,2128,45,0,0,0,1,0,51.29
2026-01-12,PRD0001,L0001-03,2028-06-20,2033,128,0,96,0,1,0,50.73
2026-01-19,PRD0001,L0001-03,2028-06-20,1919,9,0,114,0,1,0,50.63
2026-01-26,PRD0001,AB0001,2027-06-25,1,0,0,145,1,0,0,49.79
2026-01-26,PRD0001,L0001-03,2028-06-20,1774,70,0,0,0,0,1,49.79
2026-02-02,PRD0001,L0001-03,2028-06-20,1650,92,0,125,0,0,1,49.62
2026-02-09,PRD0001,AB0001,2027-06-25,1,0,0,130,2,1,0,49.02
2026-02-09,PRD0001,L0001-03,2028-06-20,1520,78,0,0,0,1,0,49.02
