pedido_id,produto_id,quantidade,preco_unitario_bruto,desconto_item,custo_unitario_historico,quantidade_cancelada
PED000001,PRD0004,1,153.1,13.82,87.36,0
PED000002,PRD0094,1,66.11,6.94,32.54,0
PED000002,PRD0011,1,124.58,12.24,65.43,0
PED000002,PRD0015,1,196.27,17.7,125.79,0
PED000003,PRD0002,1,126.09,10.13,73.3,0
PED000003,PRD0104,1,66.34,5.91,31.69,0
PED000003,PRD0038,1,200.09,20.59,123.4,0
PED000003,PRD0061,1,119.22,8.62,65.28,0
PED000004,PRD0083,1,90.33,6.3,43.53,0
PED000004,PRD0007,1,110.06,7.42,63.12,0
PED000005,PRD0015,1,190.63,9.03,123.78,0
PED000005,PRD0010,1,128.64,6.34,78.32,0
PED000006,PRD0001,1,0.0,0.0,0.0,1
PED000006,PRD0026,3,0.0,0.0,0.0,3
PED000007,PRD0053,2,124.17,20.37,69.17,0
PED000007,PRD0002,1,137.88,8.98,76.64,0
PED000007,PRD0010,1,141.73,10.92,79.28,0
PED000007,PRD0063,1,140.97,11.41,84.41,0
PED000008,PRD0001,1,92.54,5.71,59.41,0
PED000008,PRD0019,1,209.11,13.48,115.67,0
PED000008,PRD0006,4,155.27,28.7,82.88,0
PED000009,PRD0018,1,97.8,12.71,60.24,0
PED000009,PRD0007,2,110.78,20.82,61.37,0
PED000009,PRD0053,1,118.35,15.84,67.25,0
PED000009,PRD0001,1,91.88,11.13,59.02,0
PED000009,PRD0013,1,207.21,27.21,116.84,0
PED000009,PRD0027,1,209.82,21.14,130.11,0
PED000009,PRD0026,1,164.46,21.8,88.83,0
PED000010,PRD0093,2,73.3,8.28,33.76,0
PED000010,PRD0073,1,97.35,5.02,57.54,0
PED000011,PRD0002,2,138.24,20.56,76.61,0
PED000011,PRD0120,1,53.58,4.13,32.19,0
PED000011,PRD0014,1,140.45,10.92,83.48,0
PED000011,PRD0005,1,171.13,11.11,101.64,0
PED000011,PRD0001,1,97.03,5.33,57.35,0
PED000011,PRD0048,1,77.49,6.15,44.98,0
PED000012,PRD0118,1,48.04,5.16,26.93,0
PED000012,PRD0001,1,103.07,10.66,58.01,0
PED000012,PRD0045,1,109.64,10.76,65.88,0
PED000013,PRD0008,6,175.44,70.91,107.97,0
PED000013,PRD0003,3,164.97,40.89,97.81,0
PED000013,PRD0029,2,167.28,26.42,94.42,0
PED000014,PRD0024,1,103.69,6.1,61.17,0
PED000014,PRD0015,1,212.68,14.51,120.82,0
PED000014,PRD0026,1,164.86,13.43,91.93,0
PED000015,PRD0002,1,126.86,8.83,75.12,0
PED000015,PRD0001,1,104.01,6.1,59.75,0
PED000016,PRD0002,1,124.69,7.23,72.73,0
PED000016,PRD0025,1,139.4,8.23,80.98,0
PED000016,PRD0038,1,209.28,10.07,123.28,0
PED000016,PRD0042,2,202.99,22.81,114.19,0
PED000017,PRD0001,1,94.34,12.23,59.88,0
PED000017,PRD0004,1,151.29,15.67,84.42,0
PED000018,PRD0006,1,159.09,12.76,85.26,0
PED000019,PRD0044,1,74.61,5.75,42.64,0
PED000020,PRD0002,3,130.26,25.04,76.17,0
PED000021,PRD0024,1,109.44,9.3,61.8,0
PED000021,PRD0040,1,210.88,14.61,120.03,0
PED000021,PRD0019,1,217.8,15.72,117.42,0
PED000021,PRD0006,1,155.36,12.82,80.86,0
PED000022,PRD0012,1,213.62,22.3,109.64,0
PED000023,PRD0010,1,129.79,14.23,78.75,0
PED000023,PRD0004,1,147.94,16.76,87.3,0
PED000024,PRD0016,1,144.25,12.32,85.42,0
PED000024,PRD0001,1,98.0,6.92,59.97,0
PED000025,PRD0002,1,130.22,5.98,72.64,0
PED000025,PRD0127,1,56.1,2.52,31.06,0
PED000026,PRD0002,2,122.16,19.73,74.92,0
PED000026,PRD0015,1,192.48,19.5,120.91,0
PED000026,PRD0017,1,232.33,23.3,123.96,0
PED000027,PRD0001,1,95.11,8.91,59.55,0
PED000027,PRD0015,1,192.41,14.24,122.92,0
PED000027,PRD0010,1,131.12,10.96,79.39,0
PED000027,PRD0007,1,108.73,7.69,60.86,0
PED000028,PRD0063,1,151.93,9.77,87.4,0
PED000029,PRD0001,1,98.47,10.26,57.31,0
PED000029,PRD0002,1,134.27,14.61,75.26,0
PED000029,PRD0008,3,184.9,71.21,106.88,0
PED000029,PRD0014,1,137.99,15.33,79.85,0
PED000030,PRD0009,1,0.0,0.0,0.0,1
