data,campanha_id,campanha,plataforma,tipo_campanha,investimento,impressoes,cliques,sessoes,pedidos_atribuidos,novos_clientes_atribuidos,receita_atribuida
2025-01-03,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2880,160,136,7,2,2580.01
2025-01-06,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2345,67,61,7,2,2580.01
2025-01-07,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,4715,115,105,7,2,2580.01
2025-01-08,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,3783,97,77,7,2,2580.01
2025-01-09,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,1173,69,63,7,2,2580.01
2025-01-13,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,4032,168,141,7,2,2580.01
2025-01-15,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2706,66,57,7,2,2580.01
2025-01-16,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,1962,109,87,7,2,2580.01
2025-01-20,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,3696,88,74,7,2,2580.01
2025-01-22,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2660,133,110,7,2,2580.01
2025-01-24,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2482,73,61,7,2,2580.01
2025-01-28,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,3915,145,117,7,2,2580.01
2025-01-29,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,1780,89,79,7,2,2580.01
2025-01-30,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,2262,58,53,7,2,2580.01
2025-01-31,SEA-202501,Search 01/2025,Google Ads,SEARCH,204.0,3822,98,90,15,6,2580.05
2025-01-01,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,585,39,31,4,2,1938.07
2025-01-02,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1819,107,92,4,2,1938.07
2025-01-07,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,3663,111,89,4,2,1938.07
2025-01-08,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,2046,93,76,4,2,1938.07
2025-01-09,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,3840,120,106,4,2,1938.07
2025-01-10,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1764,63,56,4,2,1938.07
2025-01-13,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,2244,102,85,4,2,1938.07
2025-01-15,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1148,41,34,4,2,1938.07
