pedido_id,data_operacao,turno,equipe,inicio_separacao,fim_expedicao,linhas_pedido,unidades,caixas_fechadas,embalagem_especial,ruptura_ou_substituicao,retrabalho,minutos_retrabalho,ocorrencia_operacional,expedido_no_prazo
PED000001,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T07:02:00-03:00,2025-01-30T07:17:00-03:00,1,1,0,false,false,false,0,,true
PED000002,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T08:38:00-03:00,2025-01-30T09:07:00-03:00,3,3,0,false,false,false,0,,true
PED000003,2025-01-20,MANHÃ,EQUIPE A,2025-01-20T10:29:00-03:00,2025-01-20T10:48:00-03:00,4,4,0,false,false,false,0,,true
PED000004,2025-01-21,TARDE,EQUIPE B,2025-01-21T16:30:00-03:00,2025-01-21T16:50:00-03:00,2,2,0,false,false,false,0,,true
PED000005,2025-01-30,TARDE,EQUIPE B,2025-01-30T13:31:00-03:00,2025-01-30T13:52:00-03:00,2,2,0,false,false,false,0,,true
PED000007,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T09:21:00-03:00,2025-01-28T09:41:00-03:00,4,5,0,false,false,false,0,,true
PED000008,2025-01-06,MANHÃ,EQUIPE A,2025-01-06T08:16:00-03:00,2025-01-06T08:33:00-03:00,3,6,0,false,false,false,0,,true
PED000009,2025-01-15,MANHÃ,EQUIPE A,2025-01-15T11:21:00-03:00,2025-01-15T11:48:00-03:00,7,8,0,false,false,false,0,,true
PED000010,2025-01-09,MANHÃ,EQUIPE A,2025-01-09T07:41:00-03:00,2025-01-09T07:56:00-03:00,2,3,0,false,false,false,0,,true
PED000011,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T08:01:00-03:00,2025-01-28T08:27:00-03:00,6,7,0,false,false,false,0,,true
PED000012,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T07:29:00-03:00,2025-01-30T08:18:00-03:00,3,3,0,true,true,false,0,Substituição de item,true
PED000013,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T11:47:00-03:00,2025-01-30T12:47:00-03:00,3,11,0,true,false,true,11,Retrabalho de conferência,true
PED000014,2025-01-28,TARDE,EQUIPE B,2025-01-28T13:29:00-03:00,2025-01-28T13:44:00-03:00,3,3,0,false,false,false,0,,true
PED000015,2025-01-17,TARDE,EQUIPE B,2025-01-17T13:54:00-03:00,2025-01-17T14:06:00-03:00,2,2,0,false,false,false,0,,true
PED000016,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T07:18:00-03:00,2025-01-29T08:12:00-03:00,4,5,0,false,false,true,11,Retrabalho de conferência,true
PED000017,2025-01-08,MANHÃ,EQUIPE A,2025-01-08T11:14:00-03:00,2025-01-08T11:27:00-03:00,2,2,0,false,false,false,0,,true
PED000018,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T10:57:00-03:00,2025-01-30T11:14:00-03:00,1,1,0,false,false,false,0,,true
PED000019,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T11:51:00-03:00,2025-01-22T12:00:00-03:00,1,1,0,false,false,false,0,,true
PED000020,2025-01-14,TARDE,EQUIPE B,2025-01-14T16:48:00-03:00,2025-01-14T16:58:00-03:00,1,3,0,false,false,false,0,,true
PED000021,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T08:05:00-03:00,2025-01-31T08:34:00-03:00,4,4,0,false,false,false,0,,false
PED000022,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T08:55:00-03:00,2025-01-22T09:04:00-03:00,1,1,0,false,false,false,0,,true
PED000023,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T11:51:00-03:00,2025-01-27T12:05:00-03:00,2,2,0,false,false,false,0,,true
PED000024,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T08:37:00-03:00,2025-01-24T08:51:00-03:00,2,2,0,false,false,false,0,,true
PED000025,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T09:26:00-03:00,2025-02-03T09:40:00-03:00,2,2,0,false,false,false,0,,true
PED000026,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T10:33:00-03:00,2025-01-31T11:01:00-03:00,3,4,0,false,false,false,0,,false
PED000027,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T09:45:00-03:00,2025-01-23T10:18:00-03:00,4,4,0,false,false,false,0,,false
PED000028,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T07:55:00-03:00,2025-01-21T08:37:00-03:00,1,1,0,false,false,true,12,Retrabalho de conferência,true
PED000029,2025-01-06,TARDE,EQUIPE B,2025-01-06T16:01:00-03:00,2025-01-06T16:22:00-03:00,4,6,0,false,false,false,0,,true
PED000031,2025-01-24,TARDE,EQUIPE B,2025-01-24T15:50:00-03:00,2025-01-24T15:59:00-03:00,1,1,0,false,false,false,0,,true
PED000032,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T10:25:00-03:00,2025-01-29T10:55:00-03:00,4,6,0,false,false,false,0,,true
PED000033,2025-01-22,TARDE,EQUIPE B,2025-01-22T15:09:00-03:00,2025-01-22T15:36:00-03:00,4,4,0,false,true,false,0,Substituição de item,true
PED000034,2025-01-09,MANHÃ,EQUIPE A,2025-01-09T11:45:00-03:00,2025-01-09T12:03:00-03:00,4,5,0,false,false,false,0,,true
PED000035,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T07:48:00-03:00,2025-01-17T07:57:00-03:00,1,1,0,false,false,false,0,,true
PED000036,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T11:06:00-03:00,2025-01-27T11:19:00-03:00,2,2,0,false,false,false,0,,true
PED000037,2025-01-21,TARDE,EQUIPE B,2025-01-21T14:22:00-03:00,2025-01-21T14:37:00-03:00,1,1,0,false,false,false,0,,true
PED000038,2025-01-21,TARDE,EQUIPE B,2025-01-21T13:03:00-03:00,2025-01-21T13:20:00-03:00,1,1,0,false,false,false,0,,true
PED000039,2025-01-08,TARDE,EQUIPE B,2025-01-08T15:35:00-03:00,2025-01-08T15:45:00-03:00,1,1,0,false,false,false,0,,true
PED000040,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T08:29:00-03:00,2025-01-21T09:13:00-03:00,3,3,0,false,false,true,8,Retrabalho de conferência,true
PED000041,2025-01-08,MANHÃ,EQUIPE A,2025-01-08T10:27:00-03:00,2025-01-08T10:40:00-03:00,2,2,0,false,false,false,0,,true
PED000042,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T10:07:00-03:00,2025-01-17T10:16:00-03:00,1,1,0,false,false,false,0,,true
PED000043,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T10:59:00-03:00,2025-01-17T11:14:00-03:00,3,3,0,false,false,false,0,,true
PED000044,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T08:41:00-03:00,2025-01-22T08:50:00-03:00,1,1,0,false,false,false,0,,true
PED000045,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T09:45:00-03:00,2025-01-21T10:06:00-03:00,2,2,0,false,false,false,0,,true
PED000046,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T11:01:00-03:00,2025-02-03T11:16:00-03:00,3,3,0,false,false,false,0,,true
PED000047,2025-01-14,TARDE,EQUIPE B,2025-01-14T15:01:00-03:00,2025-01-14T15:25:00-03:00,3,4,0,false,false,true,6,Retrabalho de conferência,true
PED000048,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T11:05:00-03:00,2025-01-21T11:43:00-03:00,5,7,0,false,false,false,0,,true
PED000049,2025-01-21,TARDE,EQUIPE B,2025-01-21T14:58:00-03:00,2025-01-21T15:13:00-03:00,1,1,0,false,false,false,0,,true
PED000050,2025-01-14,TARDE,EQUIPE B,2025-01-14T15:00:00-03:00,2025-01-14T15:09:00-03:00,1,1,0,false,false,false,0,,true
PED000051,2025-01-03,TARDE,EQUIPE B,2025-01-03T14:58:00-03:00,2025-01-03T15:12:00-03:00,2,2,0,false,false,false,0,,true
