pedido_id,cliente_id,data_pedido,canal_venda,campanha_id,vendedor_id,status,valor_bruto_produtos,desconto_itens,desconto_pedido,frete_cobrado,frete_pago,taxa_pagamento,comissao,impostos_venda,data_prometida,data_expedicao,transportadora,urgente
PED000001,CLI003034,2025-01-29T13:06:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,153.1,13.82,0.66,6.78,19.1,5.6,0.0,10.4,2025-01-30T18:00:00-03:00,2025-01-30T07:17:00-03:00,Rota Nacional,false
PED000002,CLI003034,2025-01-29T09:35:00-03:00,ECOMMERCE,,,CONCLUÍDO,386.96,36.88,8.46,1.1,19.36,10.78,0.0,25.62,2025-01-30T18:00:00-03:00,2025-01-30T09:07:00-03:00,Eixo Cargo,false
PED000003,CLI003034,2025-01-17T12:24:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,511.74,45.25,5.77,1.8,20.55,10.73,0.0,34.55,2025-01-20T18:00:00-03:00,2025-01-20T10:48:00-03:00,Rápido Sul,false
PED000004,CLI003034,2025-01-20T12:38:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,200.39,13.72,4.49,6.99,19.46,5.92,0.0,13.66,2025-01-21T18:00:00-03:00,2025-01-21T16:50:00-03:00,Expresso Interior,false
PED000005,CLI003034,2025-01-29T11:32:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,319.27,15.37,5.14,5.58,19.55,7.75,0.0,22.41,2025-01-30T18:00:00-03:00,2025-01-30T13:52:00-03:00,Rápido Sul,false
PED000006,CLI003034,2025-01-29T18:23:00-03:00,ECOMMERCE,INF-202501,,CANCELADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-30T18:00:00-03:00,,Eixo Cargo,false
PED000007,CLI003034,2025-01-27T09:31:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,668.92,51.68,13.5,1.93,21.74,24.53,0.0,45.28,2025-01-28T18:00:00-03:00,2025-01-28T09:41:00-03:00,Eixo Cargo,false
PED000008,CLI003034,2025-01-03T15:50:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,922.73,47.89,4.62,1.65,26.09,31.13,0.0,65.27,2025-01-06T18:00:00-03:00,2025-01-06T08:33:00-03:00,Expresso Interior,false
PED000009,CLI001419,2025-01-14T09:43:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,1111.08,130.65,10.84,1.37,23.6,25.45,0.0,72.72,2025-01-15T18:00:00-03:00,2025-01-15T11:48:00-03:00,Rota Nacional,false
PED000010,CLI003034,2025-01-08T08:48:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,243.95,13.3,4.26,5.82,18.29,6.84,0.0,16.98,2025-01-09T18:00:00-03:00,2025-01-09T07:56:00-03:00,Rápido Sul,false
PED000011,CLI001419,2025-01-27T10:34:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,816.16,58.2,16.08,2.02,20.68,22.21,0.0,55.64,2025-01-28T18:00:00-03:00,2025-01-28T08:27:00-03:00,Eixo Cargo,false
PED000012,CLI003034,2025-01-29T14:41:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,260.75,26.58,0.79,9.14,20.59,7.36,0.0,17.5,2025-01-30T18:00:00-03:00,2025-01-30T08:18:00-03:00,Eixo Cargo,false
PED000013,CLI003034,2025-01-29T14:12:00-03:00,ECOMMERCE,,,CONCLUÍDO,1882.11,138.22,41.5,2.2,34.63,70.05,0.0,127.68,2025-01-30T18:00:00-03:00,2025-01-30T12:47:00-03:00,Eixo Cargo,false
PED000014,CLI003034,2025-01-27T12:57:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,481.23,34.04,8.21,1.92,22.22,13.04,0.0,32.92,2025-01-28T18:00:00-03:00,2025-01-28T13:44:00-03:00,Rota Nacional,false
PED000015,CLI003034,2025-01-16T09:40:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,230.87,14.93,1.25,5.31,19.46,6.32,0.0,16.1,2025-01-17T18:00:00-03:00,2025-01-17T14:06:00-03:00,Expresso Interior,false
PED000016,CLI001419,2025-01-28T15:34:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,879.35,48.34,5.32,1.31,18.64,31.94,0.0,61.93,2025-01-29T18:00:00-03:00,2025-01-29T08:12:00-03:00,Expresso Interior,false
PED000017,CLI001419,2025-01-07T14:03:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,245.63,27.9,0.51,8.16,16.16,5.41,0.0,16.29,2025-01-08T18:00:00-03:00,2025-01-08T11:27:00-03:00,Rota Nacional,false
PED000018,CLI001993,2025-01-29T16:25:00-03:00,ECOMMERCE,,,CONCLUÍDO,159.09,12.76,3.25,8.39,19.58,4.51,0.0,10.73,2025-01-30T18:00:00-03:00,2025-01-30T11:14:00-03:00,Rota Nacional,false
PED000019,CLI001993,2025-01-21T15:38:00-03:00,ECOMMERCE,,,CONCLUÍDO,74.61,5.75,0.17,7.89,18.78,2.3,0.0,5.15,2025-01-22T18:00:00-03:00,2025-01-22T12:00:00-03:00,Expresso Interior,false
PED000020,CLI001993,2025-01-13T09:58:00-03:00,ECOMMERCE,,,CONCLUÍDO,390.78,25.04,7.06,1.41,21.15,10.99,0.0,26.9,2025-01-14T18:00:00-03:00,2025-01-14T16:58:00-03:00,Expresso Interior,false
PED000021,CLI001993,2025-01-29T14:15:00-03:00,ECOMMERCE,,,CONCLUÍDO,693.48,52.45,11.23,2.13,25.05,17.11,0.0,47.24,2025-01-30T18:00:00-03:00,2025-01-31T08:34:00-03:00,Rota Nacional,false
PED000022,CLI003010,2025-01-21T13:29:00-03:00,ECOMMERCE,,,CONCLUÍDO,213.62,22.3,2.68,5.08,14.49,6.9,0.0,14.15,2025-01-22T18:00:00-03:00,2025-01-22T09:04:00-03:00,Eixo Cargo,false
PED000023,CLI001993,2025-01-24T19:06:00-03:00,ECOMMERCE,,,CONCLUÍDO,277.73,30.99,0.7,9.97,21.67,8.24,0.0,18.45,2025-01-27T18:00:00-03:00,2025-01-27T12:05:00-03:00,Rápido Sul,false
PED000024,CLI001371,2025-01-23T14:23:00-03:00,ECOMMERCE,,,CONCLUÍDO,242.25,19.24,3.75,6.76,15.44,5.7,0.0,16.44,2025-01-24T18:00:00-03:00,2025-01-24T08:51:00-03:00,Rápido Sul,false
PED000025,CLI001371,2025-01-31T18:21:00-03:00,ECOMMERCE,,,CONCLUÍDO,186.32,8.5,2.91,5.29,14.75,6.26,0.0,13.12,2025-02-03T18:00:00-03:00,2025-02-03T09:40:00-03:00,Rota Nacional,false
PED000026,CLI001993,2025-01-28T11:04:00-03:00,ECOMMERCE,,,CONCLUÍDO,669.13,62.53,1.54,1.76,22.81,18.82,0.0,45.38,2025-01-29T18:00:00-03:00,2025-01-31T11:01:00-03:00,Rápido Sul,false
PED000027,CLI003246,2025-01-20T13:37:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,527.37,41.8,5.38,2.69,26.75,15.3,0.0,36.01,2025-01-21T18:00:00-03:00,2025-01-23T10:18:00-03:00,Rota Nacional,false
PED000028,CLI001292,2025-01-20T09:31:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,151.93,9.77,1.59,10.54,29.58,4.53,0.0,10.54,2025-01-21T18:00:00-03:00,2025-01-21T08:37:00-03:00,Expresso Interior,false
